,序号,养殖场,样品号,砷（As）,镉（Cd）,铬（Cr）,铜（Cu）,镍（Ni）,铅（Pb）
0,1,小金盛源,sy1,8.21220930232558,0.867248062015504,4.53972868217054,27.2238372093023,29.0261627906977,15.8381782945736
1,2,小金盛源,sy2,7.77286135693215,0.707964601769911,5.2212389380531,24.0363815142576,21.4995083579154,14.3608652900688
2,3,小金盛源,sy3,7.14910150558524,0.728508984944148,3.20058280718796,26.682855755221,23.0645944633317,14.8372996600291
3,4,小金华兴,hx1,7.02427184466019,0.62621359223301,13.7766990291262,24.6456310679612,28.0097087378641,15.2378640776699
4,5,小金华兴,hx2,7.37051792828685,0.662350597609562,5.45318725099602,25.9262948207171,22.4900398406374,14.9950199203187
5,6,小金华兴,hx3,7.01143946615825,0.657769304099142,5.28122020972355,26.2821734985701,22.1687321258341,14.8474737845567
6,7,金川庆宁,qn1,8.70889748549323,0.643133462282398,8.17214700193423,27.7224371373308,20.9864603481625,14.1537717601547
7,8,金川庆宁,qn2,11.1794102948526,0.699650174912544,8.8255872063968,29.0154922538731,22.6136931534233,16.071964017991
8,9,金川庆宁,qn3,8.47944526993561,0.619118375433383,7.47894997523527,27.6077265973254,20.0495294700347,14.9479940564636
9,10,金川勒乌,lw1,6.88437348814707,0.532172230285438,6.10546686018384,23.033381712627,19.496855345912,13.6913401064344
10,11,金川勒乌,lw2,6.858943286476,0.542898691226369,6.50993698497334,24.7164323800291,20.0969461948619,14.2171594764905
11,12,金川勒乌,lw3,4.08011869436202,0.489614243323442,6.14737883283877,18.5064292779426,15.6429277942631,11.4094955489614
12,13,金川雪松,xs1,7.25774225774226,0.669330669330669,4.61038961038961,35.1448551448551,21.6983016983017,21.1138861138861
13,14,金川雪松,xs2,7.93052109181141,0.704714640198511,4.55086848635236,35.0570719602978,22.1191066997519,23.6476426799007
14,15,金川雪松,xs3,5.7435129740519,0.63373253493014,9.07684630738523,26.1826347305389,16.811377245509,20.6087824351297
15,16,汶川绵虒,mc1,3.64804745427583,0.711814137419674,4.76025704399407,40.7217004448838,18.9273356401384,17.0588235294118
16,17,汶川绵虒,mc2,2.61560693641618,0.592485549132948,2.15799614643545,25.7369942196532,15.5346820809249,12.7071290944123
17,18,汶川绵虒,mc3,1.99123661148978,0.545277507302824,0.671859785783836,23.0428432327166,14.508276533593,11.9328140214216
18,19,茂县茂兴,mx1,3.69111219038368,0.60709082078679,4.1864983001457,27.474502185527,20.3156872268091,16.7702768334143
19,20,茂县茂兴,mx2,6.7335945151812,0.558276199804114,1.66013712047013,22.9089128305583,19.7600391772772,16.1410381978453
20,21,茂县茂兴,mx3,3.98854961832061,0.620229007633588,3.61164122137405,29.0696564885496,21.0209923664122,17.5763358778626
21,22,松潘雄山,spxs1,5.62894609033511,0.519669742593492,3.22486644001943,22.2098105876639,17.9990286546867,13.7931034482759
22,23,松潘雄山,spxs2,11.0783824263605,0.534198701947079,2.10184722915627,20.6739890164753,16.8047928107838,13.1153270094858
23,24,松潘雄山,spxs3,0.2546682,0.572556762092794,3.66238894373149,21.604146100691,17.852912142152,13.6870681145114
